Time,Transaction ID,Description,Product,Payment method,Status,Amount
"25 Feb 2026, 14:10",GPA.0016-6868-9660-05296,Music Premium,YouTube,UPI: QR code,Complete,INR 210.00
"25 Feb 2026, 06:54",SOP.8231-6224-5350-72616,Cloud Storage Monthly,Google One,HDFC Bank UPI,Complete,INR 249.00
"24 Feb 2026, 13:00",GPY.4334-0994-1942-52889,Samay Raina membership,YouTube,Visa **** 3534,Complete,INR 499.00
"24 Feb 2026, 03:49",GPA.2333-7859-6861-49529,Play Pass Monthly,Google Play Apps,Visa **** 3534,Complete,INR 129.00
"24 Feb 2026, 01:25",GPY.5534-2189-0451-62905,Samay Raina membership,YouTube,Axis Bank UPI,Complete,INR 499.00
"24 Feb 2026, 01:05",GPY.6752-1567-2704-17062,Cloud Storage Monthly,Google One,Visa **** 3534,Complete,INR 199.00
"24 Feb 2026, 00:26",GPA.0134-7948-1143-24624,Movie Rental HD,Google Play Movies,Visa **** 5315,Complete,INR 249.00
"23 Feb 2026, 11:12",GPA.2691-8080-5066-44694..1,Cloud Storage Monthly,Google One,ICICI Bank,Complete,INR 79.00
"23 Feb 2026, 07:09",GPA.7355-0456-6320-49709..0,Movie Rental HD,Google Play Movies,SBI UPI,Cancelled,INR 79.00
"23 Feb 2026, 06:43",SOP.5603-2395-9489-56485,Google One 200 GB,Google One,UPI: QR code,Complete,INR 59.00
"23 Feb 2026, 06:25",GPY.4055-8313-3805-14461..2,Movie Rental HD,Google Play Movies,SBI UPI,Complete,INR 210.00
"22 Feb 2026, 23:51",YPC.4825-6099-9848-30496,Google One 200 GB,Google One,SBI UPI,Complete,INR 129.00
"22 Feb 2026, 20:06",GPA.4935-9193-6145-70819,Cloud Storage Monthly,Google One,Visa **** 5315,Refunded,INR 199.00
"22 Feb 2026, 15:16",GPY.6747-4789-0971-87905,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 249.00
"22 Feb 2026, 10:56",GPA.3954-5453-7389-49606,Google One 200 GB,Google One,Visa **** 5315,Complete,INR 59.00
"22 Feb 2026, 03:21",GPA.8577-4277-2970-25717,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 499.00
"22 Feb 2026, 02:17",SOP.8762-5239-9403-40041,Movie Rental HD,Google Play Movies,SBI UPI,Complete,INR 299.00
"22 Feb 2026, 01:04",YPC.3767-9274-7364-77984,Cloud Storage Monthly,Google One,Axis Bank UPI,Cancelled,INR 129.00
"22 Feb 2026, 00:39",YPC.9017-3048-1465-04310,Music Premium,YouTube,Axis Bank UPI,Complete,INR 399.00
"21 Feb 2026, 00:34",YPC.7610-6423-7756-72060,Music Premium,YouTube,HDFC Bank UPI,Complete,INR 399.00
"20 Feb 2026, 22:29",YPC.6123-5202-2773-35556,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 210.00
"20 Feb 2026, 19:09",YPC.1286-4441-4270-34774,Samay Raina membership,YouTube,HDFC Bank UPI,Complete,INR 399.00
"20 Feb 2026, 15:23",GPY.0104-6595-7058-31858..2,Movie Rental HD,Google Play Movies,Visa **** 3534,Refunded,INR 59.00
"20 Feb 2026, 12:21",YPC.1020-0803-3243-49288..1,Music Premium,YouTube,ICICI Bank,Complete,INR 129.00
"20 Feb 2026, 00:14",GPA.8243-5044-4507-60275,Google One 200 GB,Google One,Visa **** 3534,Complete,INR 199.00
"19 Feb 2026, 22:08",GPA.0543-4409-1119-10034,Google One 200 GB,Google One,ICICI Bank,Complete,INR 399.00
"19 Feb 2026, 13:59",YPC.2353-0972-6960-75562,YouTube Premium Individual,YouTube,HDFC Bank UPI,Complete,INR 210.00
"19 Feb 2026, 13:33",YPC.4750-2094-7229-64213,Samay Raina membership,YouTube,UPI: QR code,Complete,INR 499.00
"19 Feb 2026, 12:40",YPC.8160-8500-6161-63491,Cloud Storage Monthly,Google One,HDFC Bank UPI,Complete,INR 99.00
"19 Feb 2026, 11:49",GPY.2287-4644-8349-61471,Samay Raina membership,YouTube,Visa **** 3534,Refunded,INR 149.00
"19 Feb 2026, 05:19",YPC.3848-0743-7628-17320,Play Pass Monthly,Google Play Apps,ICICI Bank,Complete,INR 249.00
"18 Feb 2026, 19:01",SOP.8311-1099-7309-61284,Movie Rental HD,Google Play Movies,ICICI Bank,Cancelled,INR 99.00
"18 Feb 2026, 10:14",YPC.4770-5677-0028-44397,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 249.00
"18 Feb 2026, 09:10",GPA.0580-5191-6935-44396,Cloud Storage Monthly,Google One,Visa **** 5315,Complete,INR 149.00
"18 Feb 2026, 06:11",SOP.2453-4748-0759-61868,AI Pro Subscription,Google Play Apps,UPI: QR code,Complete,INR 129.00
"18 Feb 2026, 00:22",GPY.0842-7872-6453-86437,Movie Rental HD,Google Play Movies,Visa **** 5315,Complete,INR 79.00
"17 Feb 2026, 13:07",YPC.0872-0954-7639-42315,Google One 200 GB,Google One,Axis Bank UPI,Cancelled,INR 399.00
"17 Feb 2026, 12:08",SOP.2105-9562-6211-58689,Play Pass Monthly,Google Play Apps,Visa **** 5315,Complete,INR 249.00
"17 Feb 2026, 10:10",YPC.6884-2146-0383-88539,Samay Raina membership,YouTube,Axis Bank UPI,Complete,INR 149.00
"17 Feb 2026, 06:13",YPC.6216-0132-3076-71904,Movie Rental HD,Google Play Movies,SBI UPI,Complete,INR 210.00
"16 Feb 2026, 12:15",SOP.6631-9070-1596-43568..0,Productivity Suite,Google Play Apps,Visa **** 3534,Complete,INR 129.00
"16 Feb 2026, 10:53",SOP.5210-2659-9328-91208,Movie Rental HD,Google Play Movies,Visa **** 5315,Complete,INR 210.00
"15 Feb 2026, 22:51",GPA.1068-3503-1122-87196,Cloud Storage Monthly,Google One,UPI: QR code,Complete,INR 299.00
"15 Feb 2026, 21:26",SOP.9756-9115-1283-15147,Cloud Storage Monthly,Google One,HDFC Bank UPI,Complete,INR 59.00
"15 Feb 2026, 20:08",YPC.7367-0468-5313-08856,Movie Rental HD,Google Play Movies,Visa **** 5315,Cancelled,INR 299.00
"15 Feb 2026, 19:32",GPA.1177-9115-1807-79166,Cloud Storage Monthly,Google One,Visa **** 3534,Complete,INR 299.00
"15 Feb 2026, 03:53",GPY.0449-5555-4284-48230,Cloud Storage Monthly,Google One,UPI: QR code,Complete,INR 399.00
"14 Feb 2026, 23:44",GPA.4989-8145-1315-25384,Cloud Storage Monthly,Google One,Visa **** 3534,Complete,INR 149.00
"14 Feb 2026, 17:52",GPA.2145-1535-7257-01594,Samay Raina membership,YouTube,Visa **** 3534,Complete,INR 299.00
"14 Feb 2026, 15:47",YPC.3208-0917-1015-86184,Samay Raina membership,YouTube,SBI UPI,Cancelled,INR 210.00
"14 Feb 2026, 14:55",SOP.1226-3665-5271-34100,Samay Raina membership,YouTube,HDFC Bank UPI,Refunded,INR 299.00
"14 Feb 2026, 07:37",YPC.2481-0631-2992-19600,Movie Rental HD,Google Play Movies,HDFC Bank UPI,Complete,INR 499.00
"14 Feb 2026, 04:29",GPA.2829-8816-8944-18760,Play Pass Monthly,Google Play Apps,ICICI Bank,Complete,INR 79.00
"13 Feb 2026, 18:14",SOP.5616-1792-0617-48744..0,Productivity Suite,Google Play Apps,Visa **** 5315,Refunded,INR 299.00
"13 Feb 2026, 17:46",SOP.2448-6629-1427-73522,Productivity Suite,Google Play Apps,Axis Bank UPI,Complete,INR 59.00
"13 Feb 2026, 16:57",SOP.2928-4494-5741-12019,Cloud Storage Monthly,Google One,ICICI Bank,Complete,INR 59.00
"13 Feb 2026, 12:45",YPC.5854-0890-7006-43350,Google One 200 GB,Google One,Visa **** 5315,Cancelled,INR 149.00
"13 Feb 2026, 11:24",YPC.8419-1600-1125-98387,Cloud Storage Monthly,Google One,ICICI Bank,Complete,INR 59.00
"13 Feb 2026, 09:59",SOP.5181-0539-7576-90615,Play Pass Monthly,Google Play Apps,ICICI Bank,Complete,INR 499.00
"13 Feb 2026, 07:22",GPA.9059-9599-1855-68014,Movie Rental HD,Google Play Movies,SBI UPI,Complete,INR 99.00
"13 Feb 2026, 07:21",YPC.8921-5227-2800-34993,Music Premium,YouTube,UPI: QR code,Complete,INR 399.00
"13 Feb 2026, 00:31",SOP.1257-4915-6260-39447,YouTube Premium Individual,YouTube,Axis Bank UPI,Complete,INR 399.00
"12 Feb 2026, 21:41",YPC.3152-9358-2855-37038,YouTube Premium Individual,YouTube,ICICI Bank,Cancelled,INR 399.00
"12 Feb 2026, 11:22",YPC.9411-2881-6259-15665,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 199.00
"12 Feb 2026, 09:13",GPY.3682-5850-8779-63555,AI Pro Subscription,Google Play Apps,Visa **** 5315,Complete,INR 79.00
"12 Feb 2026, 02:52",GPA.4566-6245-2662-79768,Samay Raina membership,YouTube,HDFC Bank UPI,Complete,INR 129.00
"11 Feb 2026, 20:32",SOP.4962-6668-3453-93537,Movie Rental HD,Google Play Movies,Visa **** 3534,Cancelled,INR 499.00
"11 Feb 2026, 20:23",YPC.9724-0786-6550-86790,YouTube Premium Individual,YouTube,UPI: QR code,Complete,INR 79.00
"11 Feb 2026, 16:49",YPC.7676-8331-1222-73834,Samay Raina membership,YouTube,UPI: QR code,Refunded,INR 79.00
"11 Feb 2026, 13:25",YPC.7396-8797-2747-24526,YouTube Premium Individual,YouTube,SBI UPI,Complete,INR 210.00
"11 Feb 2026, 12:53",GPY.2300-4467-9882-61341,Play Pass Monthly,Google Play Apps,ICICI Bank,Complete,INR 299.00
"10 Feb 2026, 23:13",SOP.0656-4547-6731-06996,Cloud Storage Monthly,Google One,HDFC Bank UPI,Complete,INR 249.00
"10 Feb 2026, 23:02",GPA.5611-2851-0234-79130,Google One 200 GB,Google One,ICICI Bank,Complete,INR 59.00
"10 Feb 2026, 15:09",SOP.7347-2485-5379-77007,Movie Rental HD,Google Play Movies,UPI: QR code,Complete,INR 299.00
"10 Feb 2026, 08:23",SOP.2403-7558-2309-19324,Google One 200 GB,Google One,UPI: QR code,Complete,INR 79.00
"10 Feb 2026, 05:51",SOP.9024-0261-3901-07561,AI Pro Subscription,Google Play Apps,HDFC Bank UPI,Complete,INR 59.00
"9 Feb 2026, 15:50",YPC.4175-0758-2749-53132..2,Play Pass Monthly,Google Play Apps,Axis Bank UPI,Complete,INR 199.00
"9 Feb 2026, 14:41",GPA.8812-3082-2658-45001,Music Premium,YouTube,SBI UPI,Cancelled,INR 249.00
"9 Feb 2026, 09:19",GPA.1435-9658-6522-31015,Movie Rental HD,Google Play Movies,HDFC Bank UPI,Refunded,INR 199.00
"9 Feb 2026, 08:54",GPA.4071-2008-7172-13068,Cloud Storage Monthly,Google One,Visa **** 3534,Complete,INR 499.00
"9 Feb 2026, 02:10",GPA.3619-8214-5347-37729,Cloud Storage Monthly,Google One,Axis Bank UPI,Complete,INR 399.00
"8 Feb 2026, 23:40",GPA.3794-0170-4276-97633,Movie Rental HD,Google Play Movies,ICICI Bank,Complete,INR 210.00
"8 Feb 2026, 22:14",GPA.8640-8242-7144-44142,Cloud Storage Monthly,Google One,Visa **** 5315,Complete,INR 99.00
